City_ID,City,Country,Lat,Lng,Max Temp,Weather Description,Hotel Name
2,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,broken clouds,Pousada Porto Praia
13,San Andres,CO,12.5847,-81.7006,87.82,broken clouds,Hotel Arena Blanca
14,Vaini,TO,-21.2,-175.2,73.56,broken clouds,Keleti Beach Resort
16,Uong Bi,VN,21.0333,106.7833,71.58,overcast clouds,khach san Trung lien
17,Lodwar,KE,3.1191,35.5973,88.0,few clouds,Solmar Gracious Hotel
18,Saint George,US,37.1041,-113.5841,73.87,clear sky,Best Western Plus Abbey Inn
19,Rikitea,PF,-23.1203,-134.9692,75.2,light rain,People ThankYou
21,Atuona,PF,-9.8,-139.0333,78.15,clear sky,Villa Enata
24,Puerto Ayora,EC,-0.7393,-90.3518,76.96,few clouds,Finch Bay Galapagos Hotel
26,Kapaa,US,22.0752,-159.319,78.78,light rain,Sheraton Kauai Coconut Beach Resort
30,Georgetown,MY,5.4112,100.3354,78.73,scattered clouds,Cititel Penang
37,Banjar,ID,-8.19,114.9675,82.26,overcast clouds,The Hamsa Resort
40,Jacareacanga,BR,-6.2222,-57.7528,79.11,thunderstorm with light rain,Casa do Ian😎
41,Kununurra,AU,-15.7667,128.7333,82.38,broken clouds,Hotel Kununurra
45,Makakilo City,US,21.3469,-158.0858,77.61,broken clouds,Marriott's Ko Olina Beach Club
49,Pindi Gheb,PK,33.2402,72.2661,70.81,clear sky,Mohallah Masjid Ghulam shah
53,Chuy,UY,-33.6971,-53.4616,76.66,clear sky,Nuevo Hotel Plaza
54,San Cristobal,VE,7.7669,-72.225,80.78,scattered clouds,Posada Villaven C.A.
55,Butaritari,KI,3.0707,172.7902,81.72,few clouds,Isles Sunset Lodge
56,Bonoua,CI,5.2741,-3.595,82.02,broken clouds,Hotel Bon Samaritian
61,Port Keats,AU,-14.25,129.55,83.91,scattered clouds,TDC Village (Hundred Man Camp)
62,Victoria,HK,22.2855,114.1577,77.38,broken clouds,Mini Hotel Central
63,Bandarbeyla,SO,9.4942,50.8122,78.01,clear sky,JABIR HOTEL
64,George Town,MY,5.4112,100.3354,78.73,thunderstorm with light rain,Cititel Penang
66,Rocha,UY,-34.4833,-54.3333,82.67,clear sky,Beleza Pura B&B
67,Kavieng,PG,-2.5744,150.7967,82.09,light rain,Nusa Island Retreat
71,Casanayan,PH,11.5169,123.0512,79.09,overcast clouds,Edeeca Beach Resort
75,Esna,EG,25.2934,32.554,84.22,few clouds,Orient Star Dahabyia Isna 05 Nights Each Sunday
78,Ambunti,PG,-4.2365,142.8448,73.22,overcast clouds,Ambunti Lodge
83,Eyl,SO,7.9803,49.8164,77.49,scattered clouds,Amiin Hotel
87,Padang,ID,-0.9492,100.3543,78.46,moderate rain,Mercure Padang
91,Tevaitoa,PF,-16.7833,-151.5,78.35,moderate rain,Hôtel Raiatea Lodge
92,Ponta Do Sol,PT,32.6667,-17.1,72.01,overcast clouds,Hotel do Campo
93,Bengkulu,ID,-3.8004,102.2655,77.4,overcast clouds,Grage Hotel Bengkulu
94,Maceio,BR,-9.6658,-35.7353,87.24,scattered clouds,Poutur Pousada
95,Avarua,CK,-21.2078,-159.775,73.45,few clouds,Paradise Inn
96,Coahuayana,MX,18.7333,-103.6833,87.28,few clouds,El rranchito michuacan de ocampos
98,Daru,PG,-9.0763,143.2092,79.75,overcast clouds,Daru Lodge
99,Vung Tau,VN,10.346,107.0843,80.85,scattered clouds,Green hotel
101,Hilo,US,19.7297,-155.09,78.62,clear sky,Hilo Hawaiian Hotel
102,Belmonte,BR,-15.8631,-38.8828,79.3,few clouds,Pousada Monte Carmelo O Pão
103,Cururupu,BR,-1.8283,-44.8683,85.37,scattered clouds,POUSADA TRAVÉS'CIA
104,Laranjeiras Do Sul,BR,-25.4078,-52.4161,76.86,moderate rain,Hotel Palmeiras
109,Boyolangu,ID,-8.1181,111.8935,76.26,light rain,Yos ega cv
111,Doha,QA,25.2867,51.5333,84.09,clear sky,Movenpick Hotel Doha
113,Oistins,BB,13.0667,-59.5333,86.09,scattered clouds,Butterfly Beach Hotel
123,Wajir,KE,1.7471,40.0573,87.76,clear sky,Al-bustan Hotel And Restaurant.
131,Cabo San Lucas,MX,22.8909,-109.9124,87.51,clear sky,Hotel Tesoro Los Cabos
133,Bambanglipuro,ID,-7.95,110.2833,77.76,heavy intensity rain,Puri Brata
134,Nanakuli,US,21.3906,-158.1547,79.03,broken clouds,Camp Pālehua
137,Sechura,PE,-5.5569,-80.8222,76.89,scattered clouds,Hospedaje Costa Bella
141,Lompoc,US,34.6391,-120.4579,87.13,clear sky,"Holiday Inn Express Lompoc, an IHG Hotel"
146,Hithadhoo,MV,-0.6,73.0833,83.16,overcast clouds,Scoop Guest House
148,Puerto Escondido,MX,15.85,-97.0667,87.98,clear sky,Aldea del Bazar Hotel and Spa
157,Quatre Cocos,MU,-20.2078,57.7625,75.09,clear sky,Sunrise Attitude Hotel
160,Senanga,ZM,-16.1167,23.2667,75.49,clear sky,Zango lodge
164,Zhuhai,CN,22.2769,113.5678,77.11,light rain,Nanyang Seascape Hotel Zhuhai Hotel
167,Mount Isa,AU,-20.7333,139.5,73.17,thunderstorm with light rain,ibis Styles Mt Isa Verona
168,Sao Filipe,CV,14.8961,-24.4956,78.94,overcast clouds,Hotel Xaguate
170,Lazaro Cardenas,MX,17.9583,-102.2,84.38,clear sky,quinta antigua
171,Jacksonville,US,30.3322,-81.6556,75.43,overcast clouds,Hyatt Regency Jacksonville Riverfront
172,Florianopolis,BR,-27.6146,-48.5012,70.83,broken clouds,Hotel Boutique Quinta das Videiras
174,Touros,BR,-5.1989,-35.4608,86.9,overcast clouds,INN NEW HORIZON
175,Harlingen,US,26.1906,-97.6961,88.25,clear sky,Courtyard by Marriott Harlingen
176,Half Moon Bay,US,37.4636,-122.4286,75.85,clear sky,"The Ritz-Carlton, Half Moon Bay"
183,Grand-Lahou,CI,5.1367,-5.0242,79.14,overcast clouds,Hotel Beatitude de Grand Lahou
188,Lorengau,PG,-2.0226,147.2712,81.27,overcast clouds,Lorengau Harbourside Hotel
193,Pakxan,LA,18.3778,103.6601,70.3,broken clouds,Kong Kham Pheng Guesthouse
195,Kawalu,ID,-7.3817,108.2082,72.27,overcast clouds,KOSAN UNGU UNSIK
196,Manggar,ID,-2.8833,108.2667,78.42,overcast clouds,Guest Hotel
204,Bubaque,GW,11.2833,-15.8333,83.01,light rain,"Casa Dora, Bubaque"
