City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Ushuaia,AR,-54.8,-68.3,62.26,31,20,16.11,few clouds
1,Hobart,AU,-42.8794,147.3294,48.11,95,90,5.01,moderate rain
2,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,83,75,13.8,broken clouds
3,Punta Arenas,CL,-53.15,-70.9167,60.91,51,75,16.11,broken clouds
4,Talnakh,RU,69.4865,88.3972,-5.64,96,100,9.28,overcast clouds
5,Busselton,AU,-33.65,115.3333,40.05,83,17,8.34,few clouds
6,Matongo,TZ,-2.3833,34.0833,75.83,49,99,3.36,overcast clouds
7,Dikson,RU,73.5069,80.5464,7.66,92,100,9.73,overcast clouds
8,Port Elizabeth,ZA,-33.918,25.5701,69.1,94,40,4.61,light rain
9,Tezu,IN,27.9167,96.1667,66.13,54,0,4.34,clear sky
10,Mednogorsk,RU,51.4128,57.595,34.9,83,100,12.01,overcast clouds
11,Kodiak,US,57.79,-152.4072,27.91,80,1,4.61,clear sky
12,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,100,90,3.44,light snow
13,San Andres,CO,12.5847,-81.7006,87.82,74,75,4.61,broken clouds
14,Vaini,TO,-21.2,-175.2,73.56,83,75,6.91,broken clouds
15,Ola,RU,59.5833,151.2833,25.29,89,78,5.3,broken clouds
16,Uong Bi,VN,21.0333,106.7833,71.58,93,98,2.86,overcast clouds
17,Lodwar,KE,3.1191,35.5973,88.0,34,13,8.1,few clouds
18,Saint George,US,37.1041,-113.5841,73.87,43,1,1.01,clear sky
19,Rikitea,PF,-23.1203,-134.9692,75.2,81,96,13.11,light rain
20,Aykhal,RU,66.0,111.5,6.78,94,100,20.33,overcast clouds
21,Atuona,PF,-9.8,-139.0333,78.15,70,0,16.26,clear sky
22,Cape Town,ZA,-33.9258,18.4232,66.09,71,0,3.0,clear sky
23,Coihaique,CL,-45.5752,-72.0662,65.01,44,100,8.93,overcast clouds
24,Puerto Ayora,EC,-0.7393,-90.3518,76.96,87,24,5.01,few clouds
25,Grindavik,IS,63.8424,-22.4338,41.47,81,40,13.8,scattered clouds
26,Kapaa,US,22.0752,-159.319,78.78,97,90,4.61,light rain
27,Hasaki,JP,35.7333,140.8333,52.29,55,72,28.14,broken clouds
28,Port Alfred,ZA,-33.5906,26.891,67.46,96,100,0.2,moderate rain
29,Port Hardy,CA,50.6996,-127.4199,46.58,100,75,4.61,broken clouds
30,Georgetown,MY,5.4112,100.3354,78.73,89,40,1.99,scattered clouds
31,Flinders,AU,-34.5833,150.8552,68.2,78,100,1.01,overcast clouds
32,Tianpeng,CN,30.9866,103.9393,60.64,87,100,1.66,overcast clouds
33,Alihe,CN,50.5667,123.7167,34.14,67,10,1.59,clear sky
34,Andenes,NO,69.3143,16.1194,42.08,93,75,9.22,broken clouds
35,Albany,US,42.6001,-73.9662,60.8,73,0,2.53,clear sky
36,Hermanus,ZA,-34.4187,19.2345,62.91,91,10,3.2,clear sky
37,Banjar,ID,-8.19,114.9675,82.26,90,100,3.78,overcast clouds
38,Korla,CN,41.7597,86.1469,48.74,41,69,1.9,broken clouds
39,Ngunguru,NZ,-35.6167,174.5,58.15,91,15,7.25,few clouds
40,Jacareacanga,BR,-6.2222,-57.7528,79.11,89,75,2.3,thunderstorm with light rain
41,Kununurra,AU,-15.7667,128.7333,82.38,74,75,3.44,broken clouds
42,Airai,TL,-8.9266,125.4092,61.99,88,100,1.3,overcast clouds
43,Yellowknife,CA,62.456,-114.3525,35.42,100,90,0.0,overcast clouds
44,Jamestown,US,42.097,-79.2353,64.02,57,1,5.99,clear sky
45,Makakilo City,US,21.3469,-158.0858,77.61,84,75,5.75,broken clouds
46,Masterton,NZ,-40.9597,175.6575,57.88,96,32,1.52,scattered clouds
47,Lebyazhye,RU,55.2689,66.4947,35.1,71,59,15.99,broken clouds
48,Charters Towers,AU,-20.1,146.2667,67.68,93,12,8.12,few clouds
49,Pindi Gheb,PK,33.2402,72.2661,70.81,32,0,3.96,clear sky
50,Pasighat,IN,28.0667,95.3333,67.05,74,0,3.0,clear sky
51,Kilis,TR,36.7161,37.115,55.63,62,100,2.3,overcast clouds
52,Yar-Sale,RU,66.8333,70.8333,22.17,95,100,15.08,light snow
53,Chuy,UY,-33.6971,-53.4616,76.66,53,0,11.9,clear sky
54,San Cristobal,VE,7.7669,-72.225,80.78,65,34,5.97,scattered clouds
55,Butaritari,KI,3.0707,172.7902,81.72,70,11,11.21,few clouds
56,Bonoua,CI,5.2741,-3.595,82.02,87,71,4.05,broken clouds
57,Bluff,NZ,-46.6,168.3333,54.64,88,34,2.89,scattered clouds
58,Bethel,US,41.3712,-73.414,59.09,67,90,0.0,overcast clouds
59,Nikolskoye,RU,59.7035,30.7861,46.87,87,100,8.43,light rain
60,Qaanaaq,GL,77.484,-69.3632,21.27,92,100,8.01,overcast clouds
61,Port Keats,AU,-14.25,129.55,83.91,76,40,9.82,scattered clouds
62,Victoria,HK,22.2855,114.1577,77.38,85,69,3.0,broken clouds
63,Bandarbeyla,SO,9.4942,50.8122,78.01,68,0,8.86,clear sky
64,George Town,MY,5.4112,100.3354,78.73,89,40,1.99,thunderstorm with light rain
65,Nanortalik,GL,60.1432,-45.2371,36.61,70,100,4.59,overcast clouds
66,Rocha,UY,-34.4833,-54.3333,82.67,49,0,10.54,clear sky
67,Kavieng,PG,-2.5744,150.7967,82.09,76,60,9.37,light rain
68,Chulman,RU,56.8479,124.9104,18.97,80,100,4.54,overcast clouds
69,Severo-Kurilsk,RU,50.6789,156.125,41.7,88,100,6.24,overcast clouds
70,Vostok,RU,46.4856,135.8833,29.01,93,4,3.42,clear sky
71,Casanayan,PH,11.5169,123.0512,79.09,86,100,10.74,overcast clouds
72,Barrow,US,71.2906,-156.7887,23.02,86,90,8.05,light snow
73,Buenos Aires,AR,-34.6132,-58.3772,96.03,39,100,12.64,overcast clouds
74,Sitka,US,57.0531,-135.33,39.09,87,90,9.22,light rain
75,Esna,EG,25.2934,32.554,84.22,19,20,3.58,few clouds
76,Bell Ville,AR,-32.6259,-62.6887,96.8,16,0,13.31,clear sky
77,Tomsani,RO,44.95,26.2833,53.55,47,86,3.04,overcast clouds
78,Ambunti,PG,-4.2365,142.8448,73.22,99,98,1.01,overcast clouds
79,Lagoa,PT,39.05,-27.9833,67.23,79,77,15.88,broken clouds
80,Iqaluit,CA,63.7506,-68.5145,37.13,64,90,4.61,overcast clouds
81,Libenge,CD,3.65,18.6333,75.07,86,100,0.94,overcast clouds
82,Linxia,CN,35.6003,103.2064,45.72,57,100,2.48,overcast clouds
83,Eyl,SO,7.9803,49.8164,77.49,67,33,11.1,scattered clouds
84,Lebu,CL,-37.6167,-73.65,58.35,77,0,15.52,clear sky
85,Qasigiannguit,GL,68.8193,-51.1922,15.67,87,99,6.4,overcast clouds
86,Mataura,NZ,-46.1927,168.8643,50.59,92,17,2.82,few clouds
87,Padang,ID,-0.9492,100.3543,78.46,81,100,3.27,moderate rain
88,Morros,BR,-9.4467,-46.3003,96.49,21,5,2.98,clear sky
89,Ostrovnoy,RU,68.0531,39.5131,25.56,76,100,11.39,overcast clouds
90,Bredasdorp,ZA,-34.5322,20.0403,60.12,82,67,3.44,light rain
91,Tevaitoa,PF,-16.7833,-151.5,78.35,82,98,7.74,moderate rain
92,Ponta Do Sol,PT,32.6667,-17.1,72.01,72,100,7.07,overcast clouds
93,Bengkulu,ID,-3.8004,102.2655,77.4,85,100,2.37,overcast clouds
94,Maceio,BR,-9.6658,-35.7353,87.24,58,40,13.8,scattered clouds
95,Avarua,CK,-21.2078,-159.775,73.45,73,13,13.8,few clouds
96,Coahuayana,MX,18.7333,-103.6833,87.28,56,12,5.1,few clouds
97,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,88,99,6.55,overcast clouds
98,Daru,PG,-9.0763,143.2092,79.75,82,100,10.83,overcast clouds
99,Vung Tau,VN,10.346,107.0843,80.85,81,44,13.6,scattered clouds
100,Cherskiy,RU,68.75,161.3,-15.03,93,74,3.87,broken clouds
101,Hilo,US,19.7297,-155.09,78.62,69,1,3.44,clear sky
102,Belmonte,BR,-15.8631,-38.8828,79.3,72,13,10.76,few clouds
103,Cururupu,BR,-1.8283,-44.8683,85.37,59,39,5.79,scattered clouds
104,Laranjeiras Do Sul,BR,-25.4078,-52.4161,76.86,64,52,3.38,moderate rain
105,Oum Hadjer,TD,13.2954,19.6966,90.43,19,6,6.69,clear sky
106,Alta Floresta,BR,-9.8756,-56.0861,93.02,49,40,2.3,scattered clouds
107,Sioux Lookout,CA,50.1001,-91.917,46.78,87,90,6.91,overcast clouds
108,Saldanha,ZA,-33.0117,17.9442,62.65,92,0,9.4,clear sky
109,Boyolangu,ID,-8.1181,111.8935,76.26,93,100,1.61,light rain
110,Komsomolskiy,UZ,40.4272,71.7189,50.72,57,100,4.61,overcast clouds
111,Doha,QA,25.2867,51.5333,84.09,68,0,4.61,clear sky
112,Changji,CN,44.0167,87.3167,48.99,46,0,6.71,clear sky
113,Oistins,BB,13.0667,-59.5333,86.09,66,40,13.8,scattered clouds
114,Leningradskiy,RU,69.3833,178.4167,5.18,91,100,8.79,overcast clouds
115,East London,ZA,-33.0153,27.9116,67.14,88,20,3.44,light rain
116,Arman,RU,59.7,150.1667,24.55,92,99,2.51,overcast clouds
117,Hofn,IS,64.2539,-15.2082,42.94,92,100,14.97,light rain
118,Asau,RO,46.4333,26.4,48.76,60,10,2.8,clear sky
119,Salantai,LT,56.0667,21.5667,53.1,92,100,10.27,overcast clouds
120,Praia Da Vitoria,PT,38.7333,-27.0667,68.76,83,40,7.54,scattered clouds
121,Pevek,RU,69.7008,170.3133,1.58,96,100,4.34,overcast clouds
122,Jinxiang,CN,27.4327,120.6062,64.65,75,85,9.42,overcast clouds
123,Wajir,KE,1.7471,40.0573,87.76,40,1,0.0,clear sky
124,Merauke,ID,-8.4667,140.3333,78.57,84,65,8.55,broken clouds
125,Camacha,PT,33.0833,-16.3333,69.22,64,20,9.22,few clouds
126,Kruisfontein,ZA,-34.0033,24.7314,66.88,83,100,10.78,overcast clouds
127,Goure,NE,13.9835,10.2704,87.03,11,48,7.49,scattered clouds
128,Imamoglu,TR,37.2651,35.6572,63.63,64,92,1.97,overcast clouds
129,Kodinsk,RU,58.6881,99.1844,21.33,80,11,3.38,few clouds
130,Klimovo,RU,52.3805,32.1923,45.3,94,11,6.85,few clouds
131,Cabo San Lucas,MX,22.8909,-109.9124,87.51,54,0,3.76,clear sky
132,Saint Anthony,US,45.0205,-93.218,49.15,91,90,1.99,light rain
133,Bambanglipuro,ID,-7.95,110.2833,77.76,90,100,4.59,heavy intensity rain
134,Nanakuli,US,21.3906,-158.1547,79.03,88,75,5.75,broken clouds
135,Evensk,RU,61.95,159.2333,13.89,95,100,6.24,light snow
136,Simbahan,PH,6.3032,120.5836,83.16,74,81,8.63,broken clouds
137,Sechura,PE,-5.5569,-80.8222,76.89,57,26,15.86,scattered clouds
138,Codrington,AU,-38.2667,141.9667,46.99,92,100,24.67,light rain
139,Beringovskiy,RU,63.05,179.3167,4.59,90,30,7.96,scattered clouds
140,Carnarvon,AU,-24.8667,113.6333,64.47,63,0,18.41,clear sky
141,Lompoc,US,34.6391,-120.4579,87.13,36,1,1.01,clear sky
142,Sherbakul,RU,54.6316,72.3963,38.88,49,79,16.62,broken clouds
143,Magdagachi,RU,53.45,125.8,30.27,91,99,3.94,overcast clouds
144,Sobolevo,RU,54.4299,31.8996,44.42,92,100,3.02,overcast clouds
145,Clyde River,CA,70.4692,-68.5914,34.03,93,90,16.11,light snow
146,Hithadhoo,MV,-0.6,73.0833,83.16,75,100,15.66,overcast clouds
147,Lander,US,42.833,-108.7307,50.97,51,1,10.36,clear sky
148,Puerto Escondido,MX,15.85,-97.0667,87.98,64,9,7.38,clear sky
149,Capljina,BA,43.1214,17.6844,50.14,57,5,3.94,clear sky
150,Weyburn,CA,49.6668,-103.8511,50.18,49,4,11.5,clear sky
151,Manuk Mangkaw,PH,4.8,119.85,83.48,71,100,6.58,overcast clouds
152,Aklavik,CA,68.2191,-135.0107,27.43,96,81,5.19,broken clouds
153,Thompson,CA,55.7435,-97.8558,39.36,93,90,11.5,overcast clouds
154,Ancud,CL,-41.8697,-73.8203,63.93,67,21,9.31,few clouds
155,Rangapara,IN,26.8167,92.65,65.73,76,0,4.18,clear sky
156,Castro,BR,-24.7911,-50.0119,69.37,80,85,9.04,overcast clouds
157,Quatre Cocos,MU,-20.2078,57.7625,75.09,75,8,9.37,clear sky
158,Estepa,ES,37.2926,-4.879,64.89,54,87,7.02,light rain
159,Pangnirtung,CA,66.1451,-65.7125,32.0,100,90,0.0,mist
160,Senanga,ZM,-16.1167,23.2667,75.49,50,5,5.86,clear sky
161,Fortuna,US,40.5982,-124.1573,67.91,67,1,1.99,clear sky
162,Puerto Quijarro,BO,-17.7833,-57.7667,100.17,30,24,2.48,few clouds
163,Ayagoz,KZ,47.9714,80.4392,39.34,95,11,6.04,few clouds
164,Zhuhai,CN,22.2769,113.5678,77.11,83,20,9.22,light rain
165,Walvis Bay,NA,-22.9575,14.5053,67.15,68,75,8.05,broken clouds
166,Portland,US,45.5234,-122.6762,68.61,86,90,4.0,overcast clouds
167,Mount Isa,AU,-20.7333,139.5,73.17,94,90,6.91,thunderstorm with light rain
168,Sao Filipe,CV,14.8961,-24.4956,78.94,78,100,10.92,overcast clouds
169,Hamilton,US,39.1834,-84.5333,58.42,93,90,4.61,moderate rain
170,Lazaro Cardenas,MX,17.9583,-102.2,84.38,69,5,5.01,clear sky
171,Jacksonville,US,30.3322,-81.6556,75.43,92,90,5.01,overcast clouds
172,Florianopolis,BR,-27.6146,-48.5012,70.83,68,75,12.66,broken clouds
173,Khatanga,RU,71.9667,102.5,-2.69,97,100,8.81,overcast clouds
174,Touros,BR,-5.1989,-35.4608,86.9,60,87,17.72,overcast clouds
175,Harlingen,US,26.1906,-97.6961,88.25,24,1,16.11,clear sky
176,Half Moon Bay,US,37.4636,-122.4286,75.85,62,1,9.22,clear sky
177,Chokurdakh,RU,70.6333,147.9167,-9.29,96,90,4.09,overcast clouds
178,Santa Cruz,BO,-17.8,-63.1667,96.85,38,20,11.5,few clouds
179,Juneau,US,58.3019,-134.4197,41.22,94,90,5.75,light rain
180,Ust-Kulom,RU,61.6864,53.6902,22.68,77,100,12.48,overcast clouds
181,Asheville,US,35.6009,-82.554,55.17,82,90,1.99,light rain
182,Warragul,AU,-38.1667,145.9333,64.98,57,0,1.99,clear sky
183,Grand-Lahou,CI,5.1367,-5.0242,79.14,83,100,5.37,overcast clouds
184,Xichang,CN,27.8964,102.2634,55.96,85,87,2.82,overcast clouds
185,Saskylakh,RU,71.9167,114.0833,2.86,96,100,7.99,overcast clouds
186,Nuuk,GL,64.1835,-51.7216,30.81,64,75,11.5,broken clouds
187,New Norfolk,AU,-42.7826,147.0587,47.75,78,100,4.0,light rain
188,Lorengau,PG,-2.0226,147.2712,81.27,78,100,4.85,overcast clouds
189,Bulanash,RU,57.2783,61.9965,37.99,87,100,10.74,overcast clouds
190,Longyearbyen,SJ,78.2186,15.6401,17.44,73,0,6.91,clear sky
191,Moussoro,TD,13.6408,16.4901,91.65,13,5,10.45,clear sky
192,Torbay,CA,47.6666,-52.7314,40.57,89,90,14.97,overcast clouds
193,Pakxan,LA,18.3778,103.6601,70.3,88,81,3.56,broken clouds
194,Ballitoville,ZA,-29.539,31.2144,68.25,73,20,17.27,few clouds
195,Kawalu,ID,-7.3817,108.2082,72.27,96,100,0.63,overcast clouds
196,Manggar,ID,-2.8833,108.2667,78.42,86,100,2.37,overcast clouds
197,Sayyan,YE,15.1718,44.3244,57.11,29,7,11.25,clear sky
198,Danilov,RU,58.1908,40.1717,32.02,84,36,5.84,scattered clouds
199,Khandagayty,RU,50.7333,92.05,32.9,73,13,4.5,few clouds
200,Kabare,CD,-2.4683,28.8242,62.11,96,100,0.34,moderate rain
201,Yulara,AU,-25.2406,130.9889,67.84,21,69,8.05,broken clouds
202,Bagdarin,RU,54.4333,113.6,31.21,54,67,8.75,broken clouds
203,Uribia,CO,11.7139,-72.266,90.7,50,99,3.02,overcast clouds
204,Bubaque,GW,11.2833,-15.8333,83.01,71,20,7.23,light rain
205,Klaksvik,FO,62.2266,-6.589,49.12,89,23,21.0,few clouds
206,Mao,ES,39.8885,4.2658,63.16,82,20,4.61,few clouds
207,Fukue,JP,32.6881,128.8419,67.19,62,100,24.43,overcast clouds
208,Lumeje,AO,-11.55,20.7833,67.01,89,96,8.1,moderate rain
209,Te Anau,NZ,-45.4167,167.7167,48.49,87,16,0.29,few clouds
210,Aswan,EG,24.0934,32.907,90.7,17,0,6.91,clear sky
211,Arlit,NE,18.7369,7.3853,88.25,10,42,8.95,scattered clouds
212,Marzuq,YE,14.4,46.4667,74.66,26,5,1.54,clear sky
213,Savannakhet,LA,16.566,104.751,69.58,96,60,4.29,broken clouds
214,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,93,75,11.5,broken clouds
215,Bereda,ES,43.2686,-7.5406,57.0,88,100,7.43,moderate rain
216,Shigony,RU,53.3875,48.6777,42.57,78,100,7.78,light rain
217,Angoche,MZ,-16.2325,39.9086,76.57,67,7,17.31,clear sky
218,Nabire,ID,-3.3667,135.4833,74.19,91,100,3.83,overcast clouds
219,Luanshya,ZM,-13.1367,28.4166,71.08,48,5,6.4,clear sky
220,Cuicatlan,MX,17.8,-96.9667,85.82,59,76,5.84,broken clouds
221,Oktyabrskiy,RU,54.4815,53.471,38.41,78,100,9.93,overcast clouds
222,Cidreira,BR,-30.1811,-50.2056,71.58,74,0,16.2,clear sky
223,Provideniya,RU,64.3833,-173.3,13.37,85,100,4.27,overcast clouds
224,Vila Velha,BR,-20.3297,-40.2925,82.35,61,20,10.36,few clouds
225,Kiunga,PG,-6.1219,141.2906,72.68,98,100,0.76,overcast clouds
226,Luderitz,NA,-26.6481,15.1594,58.69,93,11,6.49,few clouds
227,Tiksi,RU,71.6872,128.8694,11.44,96,100,4.72,overcast clouds
228,Poum,NC,-20.2333,164.0167,75.51,80,8,11.18,clear sky
229,Aranos,NA,-24.1333,19.1167,69.49,73,67,24.07,light rain
230,Mahebourg,MU,-20.4081,57.7,75.25,83,20,10.36,few clouds
231,Dunedin,NZ,-45.8742,170.5036,55.2,88,96,5.93,overcast clouds
232,Tyler,US,32.3513,-95.3011,70.99,32,1,11.01,clear sky
233,Ribeira Grande,PT,38.5167,-28.7,68.4,88,20,9.22,few clouds
234,Souillac,MU,-20.5167,57.5167,75.36,83,20,10.36,few clouds
